dimension_set,query,strategy,threshold_bytes,threshold_label,run,status,elapsed_s,setup_s,groups,total,bhj,smj,shuffle,bcast_ex,exchanges,bcast_ms,bcast_bytes,plan_file
dim10mb,q2,auto,22821,admits-1:date,2,ok,22.63,,40,120015240211.4,1,3,8,1,9,1008,1069024,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-1:date-r2.txt
dim10mb,q2,auto,363779,admits-2:date+supplier,2,ok,19.99,,40,120015240211.4,2,2,6,2,8,1914,3717568,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-2:date+supplier-r2.txt
dim10mb,q2,auto,2512573,admits-3:date+supplier+part,2,ok,17.22,,40,120015240211.4,3,1,4,3,7,4048,82026432,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-3:date+supplier+part-r2.txt
dim10mb,q2,auto,7876670,admits-4:date+supplier+part+customer,2,ok,13.80,,40,120015240211.4,4,0,2,4,6,3946,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-4:date+supplier+part+customer-r2.txt
dim10mb,q2,auto,63013352,above-all-8x,2,ok,11.98,,40,120015240211.4,4,0,2,4,6,3416,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-above-all-8x-r2.txt
dim10mb,q2,joinless,-1,pattern,3,ok,19.97,3.96,40,120015240211.4,0,0,2,0,2,0,0,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-joinless-pattern-r3.txt
dim10mb,q2,auto,10485760,default-10MiB,3,ok,13.46,,40,120015240211.4,4,0,2,4,6,3975,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-default-10MiB-r3.txt
dim10mb,q2,auto,22821,admits-1:date,3,ok,21.76,,40,120015240211.4,1,3,8,1,9,1013,1069024,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-1:date-r3.txt
dim10mb,q2,auto,363779,admits-2:date+supplier,3,ok,18.65,,40,120015240211.4,2,2,6,2,8,1275,3717568,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-2:date+supplier-r3.txt
dim10mb,q2,auto,2512573,admits-3:date+supplier+part,3,ok,17.70,,40,120015240211.4,3,1,4,3,7,4021,82026432,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-3:date+supplier+part-r3.txt
dim10mb,q2,auto,7876670,admits-4:date+supplier+part+customer,3,ok,13.53,,40,120015240211.4,4,0,2,4,6,3895,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-4:date+supplier+part+customer-r3.txt
dim10mb,q2,auto,63013352,above-all-8x,3,ok,13.52,,40,120015240211.4,4,0,2,4,6,4158,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-above-all-8x-r3.txt
dim10mb,q2,joinless,-1,pattern,4,ok,17.94,3.75,40,120015240211.4,0,0,2,0,2,0,0,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-joinless-pattern-r4.txt
dim10mb,q2,auto,10485760,default-10MiB,4,ok,12.97,,40,120015240211.4,4,0,2,4,6,4320,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-default-10MiB-r4.txt
dim10mb,q2,auto,22821,admits-1:date,4,ok,22.78,,40,120015240211.4,1,3,8,1,9,1017,1069024,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-1:date-r4.txt
dim10mb,q2,auto,363779,admits-2:date+supplier,4,ok,19.99,,40,120015240211.4,2,2,6,2,8,2071,3717568,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-2:date+supplier-r4.txt
